id,title,brand,category,price,images,description,rating,discountPercentage,tags
33,Mulberry,,groceries,4.99,['https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp'],"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.95,12.87,fruits
34,Nescafe Coffee,,groceries,7.99,['https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp'],"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",4.82,1.59,"beverages,coffee"
35,Potatoes,,groceries,2.29,['https://cdn.dummyjson.com/product-images/groceries/potatoes/1.webp'],"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",4.81,5.38,vegetables
36,Protein Powder,,groceries,19.99,['https://cdn.dummyjson.com/product-images/groceries/protein-powder/1.webp'],"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",4.18,7.59,health supplements
37,Red Onions,,groceries,1.99,['https://cdn.dummyjson.com/product-images/groceries/red-onions/1.webp'],"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",4.2,9.9,vegetables
38,Rice,,groceries,5.99,['https://cdn.dummyjson.com/product-images/groceries/rice/1.webp'],"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",3.18,9.29,grains
39,Soft Drinks,,groceries,1.99,['https://cdn.dummyjson.com/product-images/groceries/soft-drinks/1.webp'],"Assorted soft drinks in various flavors, perfect for refreshing beverages.",4.75,17.48,beverages
40,Strawberry,,groceries,3.99,['https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp'],"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.08,1.12,fruits
41,Tissue Paper Box,,groceries,2.49,"['https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/1.webp', 'https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/2.webp']","Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",2.69,13.28,household essentials
42,Water,,groceries,0.99,['https://cdn.dummyjson.com/product-images/groceries/water/1.webp'],"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",4.96,14.92,beverages
43,Decoration Swing,,home-decoration,59.99,"['https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/1.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/2.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/3.webp']","The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",3.16,10.41,"home decor,swing"
44,Family Tree Photo Frame,,home-decoration,29.99,['https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/1.webp'],"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",4.53,14.87,"home decor,photo frame"
45,House Showpiece Plant,,home-decoration,39.99,"['https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/1.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/2.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/3.webp']",The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,4.67,7.46,"home decor,artificial plants"
46,Plant Pot,,home-decoration,14.99,"['https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/2.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/3.webp', 'https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/4.webp']","The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",3.01,6.84,"home decor,plant accessories"
47,Table Lamp,,home-decoration,49.99,['https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/1.webp'],"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",3.55,7.09,"home decor,lighting"
48,Bamboo Spatula,,kitchen-accessories,7.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/1.webp'],"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",3.27,2.84,"kitchen tools,utensils"
49,Black Aluminium Cup,,kitchen-accessories,5.99,"['https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/1.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/2.webp']",The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,4.46,15.65,"drinkware,cups"
50,Black Whisk,,kitchen-accessories,9.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/1.webp'],The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,3.9,10.24,"kitchen tools,utensils"
51,Boxed Blender,,kitchen-accessories,39.99,"['https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/2.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/3.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/4.webp']","The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",4.56,7.26,"kitchen appliances,blenders"
52,Carbon Steel Wok,,kitchen-accessories,29.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/1.webp'],"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",4.05,6.53,"cookware,woks"
53,Chopping Board,,kitchen-accessories,12.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/1.webp'],"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",3.7,8.03,"kitchen tools,cutting boards"
54,Citrus Squeezer Yellow,,kitchen-accessories,8.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/1.webp'],The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,4.63,12.1,"kitchen tools,juicers"
55,Egg Slicer,,kitchen-accessories,6.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/1.webp'],"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",3.09,14.76,"kitchen tools,slicers"
56,Electric Stove,,kitchen-accessories,49.99,"['https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/2.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/3.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/4.webp']",The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,4.11,14.04,"kitchen appliances,cooktops"
57,Fine Mesh Strainer,,kitchen-accessories,9.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/1.webp'],The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,3.04,3.5,"kitchen tools,strainers"
58,Fork,,kitchen-accessories,3.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/1.webp'],The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,3.11,8.07,"kitchen tools,utensils"
59,Glass,,kitchen-accessories,4.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/1.webp'],The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,4.02,7.92,"drinkware,glasses"
60,Grater Black,,kitchen-accessories,10.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/1.webp'],"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",3.21,3.56,"kitchen tools,graters"
61,Hand Blender,,kitchen-accessories,34.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/1.webp'],"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",3.86,17.02,"kitchen appliances,blenders"
62,Ice Cube Tray,,kitchen-accessories,5.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/1.webp'],The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,4.71,0.63,"kitchen tools,ice cube trays"
63,Kitchen Sieve,,kitchen-accessories,7.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/1.webp'],The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,3.09,18.91,"kitchen tools,strainers"
64,Knife,,kitchen-accessories,14.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/1.webp'],"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",3.26,18.86,"kitchen tools,cutlery"
65,Lunch Box,,kitchen-accessories,12.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/1.webp'],"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",4.93,10.34,"kitchen tools,storage"
66,Microwave Oven,,kitchen-accessories,89.99,"['https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/2.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/3.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/4.webp']","The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",4.82,12.13,"kitchen appliances,microwaves"
67,Mug Tree Stand,,kitchen-accessories,15.99,"['https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/1.webp', 'https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/2.webp']",The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,2.64,9.25,"kitchen tools,organization"
68,Pan,,kitchen-accessories,24.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/1.webp'],"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",2.79,3.0,"cookware,pans"
69,Plate,,kitchen-accessories,3.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/1.webp'],The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,3.65,7.31,"dinnerware,plates"
70,Red Tongs,,kitchen-accessories,6.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/1.webp'],The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,4.42,14.52,"kitchen tools,tongs"
71,Silver Pot With Glass Cap,,kitchen-accessories,39.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/1.webp'],"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",3.22,5.7,"cookware,pots"
72,Slotted Turner,,kitchen-accessories,8.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/1.webp'],"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",3.4,13.35,"kitchen tools,turners"
73,Spice Rack,,kitchen-accessories,19.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/1.webp'],The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,4.87,12.09,"kitchen tools,organization"
74,Spoon,,kitchen-accessories,4.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/1.webp'],"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",4.03,1.53,"kitchen tools,utensils"
75,Tray,,kitchen-accessories,16.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/1.webp'],"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",4.62,7.48,"serveware,trays"
76,Wooden Rolling Pin,,kitchen-accessories,11.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/1.webp'],The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,2.92,9.75,"kitchen tools,baking"
77,Yellow Peeler,,kitchen-accessories,5.99,['https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/1.webp'],The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,4.24,12.48,"kitchen tools,peelers"
78,Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,1999.99,"['https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/1.webp', 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/2.webp', 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/3.webp']","The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",3.65,4.69,"laptops,apple"
79,Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,1799.99,"['https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/1.webp', 'https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/2.webp', 'https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/3.webp']","The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",3.95,11.14,laptops
80,Huawei Matebook X Pro,Huawei,laptops,1399.99,"['https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/1.webp', 'https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/2.webp', 'https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/3.webp']","The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",4.98,9.38,laptops
81,Lenovo Yoga 920,Lenovo,laptops,1099.99,"['https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/1.webp', 'https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/2.webp', 'https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/3.webp']","The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",2.86,6.55,laptops
82,New DELL XPS 13 9300 Laptop,Dell,laptops,1499.99,"['https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/1.webp', 'https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/2.webp', 'https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/3.webp']","The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",2.67,11.89,laptops
83,Blue & Black Check Shirt,Fashion Trends,mens-shirts,29.99,"['https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/1.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/2.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/3.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/4.webp']","The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",3.64,15.35,"clothing,men's shirts"
84,Gigabyte Aorus Men Tshirt,Gigabyte,mens-shirts,24.99,"['https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/1.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/2.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/3.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/4.webp']","The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",3.18,0.94,"clothing,men's t-shirts"
85,Man Plaid Shirt,Classic Wear,mens-shirts,34.99,"['https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/1.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/2.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/3.webp', 'https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/4.webp']",The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,3.46,19.5,"clothing,men's shirts"
